http://www.amazon.com/gp/offer-listing/B0044QXHDI,25/03/2014
other,0.97,0,"9,311"
other,0.98,0,"6,362"
other,0.98,0,"2,980"
other,0.98,0,"5,420"
eformart,0.95,$0.79,"9,646"
ELE,1.96,0,"1,565"
other,1.96,0,"1,461"
accmart,1.96,0,"3,342"
other,2.38,0,"3,333"
other,1.39,$0.99,"33,056"
http://www.amazon.com/gp/offer-listing/B009LVVTSQ,25/03/2014
other,6.29,0,17
other,2.99,$3.99,"1,285"
ELE,6.98,0,"1,565"
other,5.49,$1.50,115
other,6.99,$0.16,3
other,3.99,$3.49,"512,513"
other,7.49,0,333
