http://www.amazon.com/gp/offer-listing/B007S642BW,26/03/2014,,,,,
other,4.53,0,0,4.53,,
other,4.55,0,84,4.55,,
other,3.86,$0.69 ,"1,450",4.55,,
other,4.54,$0.01 ,0,4.55,,
other,4.55,0,"1,468",4.55,,
accmart,4.55,0,"3,344",4.55,,
other,3.56,$0.99 ,"1,956",4.55,,
other,3.82,$0.73 ,"5,359",4.55,,
ELE,4.55,0,"1,574",4.55,,
other,4.55,0,155,4.55,,
http://www.amazon.com/gp/offer-listing/B002FFT8Z6,26/03/2014,,,#VALUE!,,12
other,2.54,0,357,2.54,,1
other,2.54,0,"1,468",2.54,,2
other,1.55,$0.99 ,"1,956",2.54,,3
accmart,2.54,0,"3,344",2.54,,4
eformart,1.75,$0.79 ,"9,650",2.54,,5
other,1.57,$0.99 ,"4,888",2.56,,6
other,1.83,$0.73 ,"5,359",2.56,,7
other,2.62,0,642,2.62,,8
other,2.63,0,206,2.63,,9
other,2.64,0,"1,364",2.64,,10
http://www.amazon.com/gp/offer-listing/B008279OJ6,26/03/2014,,,#VALUE!,,
ELE,4.9,0,"1,574",4.9,,
other,4.9,0,84,4.9,,
other,4.92,0,"1,924",4.92,,
eformart,4.15,$0.79 ,"9,650",4.94,,
other,4.95,0,"5,515",4.95,,
accmart,4.95,0,"3,344",4.95,,
other,4.98,0,642,4.98,,
other,4.09,$0.99 ,"1,956",5.08,,
other,5.16,0,"1,468",5.16,,
other,5.2,0,"3,821",5.2,,
http://www.amazon.com/gp/offer-listing/B001NY45S0,26/03/2014,,,#VALUE!,,
other,1.72,0,15,1.72,,
accmart,1.73,0,"3,344",1.73,,
ELE,1.73,0,"1,574",1.73,,
other,1.73,0,"9,650",1.73,,
other,1.73,0,"1,468",1.73,,
eformart,0.99,$0.79 ,"9,650",1.78,,
other,1.78,0,"6,301",1.78,,
other,1.8,0,"1,014",1.8,,
other,1.83,0,"5,515",1.83,,
other,1.83,0,149,1.83,,
http://www.amazon.com/gp/offer-listing/B0049ME3BM,26/03/2014,,,#VALUE!,,
ELE,2.57,0,"1,574",2.57,,
other,2.57,0,"1,468",2.57,,
smart,2.57,0,"9,346",2.57,,
accmart,2.58,0,"3,344",2.58,,
eformart,1.79,$0.79 ,"9,650",2.58,,
other,2.58,0,39,2.58,,
HKSELLER,2.58,0,"6,369",2.58,,
overfeel,2.58,0,"2,989",2.58,,
space,2.58,0,"5,429",2.58,,
other,2.59,0,497,2.59,,
http://www.amazon.com/gp/offer-listing/B009LVVTSQ,26/03/2014,,,#VALUE!,,
other,6.29,0,18,6.29,,
other,6.97,0,12,6.97,,
ELE,6.98,0,"1,574",6.98,,
other,2.99,$3.99 ,"1,286",6.98,,
other,5.49,$1.50 ,116,6.99,,
other,6.99,$0.16 ,3,7.15,,
other,3.99,$3.49 ,"512,663",7.48,,
http://www.amazon.com/gp/offer-listing/B005LTBCKM,26/03/2014,,,#VALUE!,,
ELE,5.93,0,"1,574",5.93,,
other,5.98,0,"5,515",5.98,,
eformart,5.19,$0.79 ,"9,650",5.98,,
other,5.98,0,"1,468",5.98,,
other,5.98,0,201,5.98,,
accmart,5.98,0,"3,344",5.98,,
other,6.84,0,60,6.84,,
other,6.85,0,113,6.85,,
other,6.94,0,340,6.94,,
other,6.98,0,48,6.98,,
http://www.amazon.com/gp/offer-listing/B0027EMHM6,26/03/2014,,,#VALUE!,,
ELE,1.93,0,"1,574",1.93,,
eformart,1.14,$0.79 ,"9,650",1.93,,
space,1.93,0,"5,429",1.93,,
smart,1.93,0,"9,346",1.93,,
other,1.94,0,"1,924",1.94,,
overfeel,1.94,0,"2,989",1.94,,
HKSELLER,1.94,0,"6,369",1.94,,
other,1.96,0,"3,411",1.96,,
other,2.1,0,"2,648",2.1,,
other,2.71,0,68,2.71,,
http://www.amazon.com/gp/offer-listing/B002FFZGCU,26/03/2014,,,#VALUE!,,
other,3,$0.50 ,"256,055",3.5,,
ELE,4.55,0,"1,574",4.55,,
accmart,4.55,0,"3,344",4.55,,
other,4.55,0,"1,468",4.55,,
eformart,3.76,$0.79 ,"9,650",4.55,,
smart,4.55,0,"9,346",4.55,,
HKSELLER,4.56,0,"6,369",4.56,,
overfeel,4.56,0,"2,989",4.56,,
space,4.56,0,"5,429",4.56,,
other,3.8,$0.99 ,"1,956",4.79,,
http://www.amazon.com/gp/offer-listing/B002FFZGCU,26/03/2014,,,#VALUE!,,
other,3,$0.50 ,"256,055",3.5,,
ELE,4.55,0,"1,574",4.55,,
accmart,4.55,0,"3,344",4.55,,
other,4.55,0,"1,468",4.55,,
