http://www.amazon.com/gp/offer-listing/B007S642BW,26/03/2014,,
other,4.53,0,0
other,4.55,0,155
other,4.55,0,"1,469"
other,3.82,$0.73 ,"5,360"
other,3.86,$0.69 ,"1,450"
ELE,4.55,0,"1,574"
other,4.54,$0.01 ,0
accmart,4.55,0,"3,344"
other,4.55,0,84
other,3.56,$0.99 ,"1,955"
http://www.amazon.com/gp/offer-listing/B002FFT8Z6,26/03/2014,,
other,2.54,0,357
other,2.54,0,"1,469"
eformart,1.75,$0.79 ,"9,650"
accmart,2.54,0,"3,344"
other,1.55,$0.99 ,"1,955"
other,1.83,$0.73 ,"5,360"
other,1.57,$0.99 ,"4,888"
other,2.62,0,642
other,2.63,0,206
other,2.64,0,"6,081"
http://www.amazon.com/gp/offer-listing/B008279OJ6,26/03/2014,,
other,4.9,0,"3,821"
other,4.9,0,84
ELE,4.9,0,"1,574"
other,4.92,0,"1,927"
eformart,4.15,$0.79 ,"9,650"
accmart,4.95,0,"3,344"
other,4.95,0,"5,514"
other,4.98,0,642
other,4.09,$0.99 ,"1,956"
other,5.16,0,"1,468"
http://www.amazon.com/gp/offer-listing/B001NY45S0,26/03/2014,,
other,1.72,0,15
other,1.73,0,"1,468"
ELE,1.73,0,"1,574"
accmart,1.73,0,"3,344"
other,1.73,0,"9,652"
eformart,0.99,$0.79 ,"9,650"
other,1.78,0,"6,301"
other,1.8,0,"1,015"
other,1.83,0,149
other,1.83,0,"5,514"
http://www.amazon.com/gp/offer-listing/B0049ME3BM,26/03/2014,,
ELE,2.57,0,"1,574"
other,2.57,0,"1,468"
smart,2.57,0,"9,347"
accmart,2.58,0,"3,344"
eformart,1.79,$0.79 ,"9,650"
space,2.58,0,"5,429"
HKSELLER,2.58,0,"6,369"
other,2.58,0,39
overfeel,2.58,0,"2,990"
other,2.59,0,498
http://www.amazon.com/gp/offer-listing/B009LVVTSQ,26/03/2014,,
other,6.29,0,18
other,6.97,0,12
other,2.99,$3.99 ,"1,286"
ELE,6.98,0,"1,574"
other,5.49,$1.50 ,116
other,6.99,$0.16 ,3
other,3.99,$3.49 ,"512,673"
http://www.amazon.com/gp/offer-listing/B005LTBCKM,26/03/2014,,
ELE,5.93,0,"1,574"
other,5.98,0,201
eformart,5.19,$0.79 ,"9,650"
other,5.98,0,"5,515"
accmart,5.98,0,"3,344"
other,5.98,0,"1,468"
other,6.84,0,60
other,6.85,0,113
other,6.94,0,340
other,6.98,0,48
http://www.amazon.com/gp/offer-listing/B0027EMHM6,26/03/2014,,
ELE,1.93,0,"1,574"
eformart,1.14,$0.79 ,"9,650"
space,1.93,0,"5,429"
smart,1.93,0,"9,347"
other,1.94,0,"1,927"
overfeel,1.94,0,"2,990"
HKSELLER,1.94,0,"6,369"
other,1.96,0,"3,410"
other,2.1,0,"2,649"
other,2.29,0,814
http://www.amazon.com/gp/offer-listing/B002FFZGCU,26/03/2014,,
other,3,$0.50 ,"256,058"
ELE,4.55,0,"1,574"
other,4.55,0,"1,469"
accmart,4.55,0,"3,344"
eformart,3.76,$0.79 ,"9,650"
smart,4.55,0,"9,347"
space,4.56,0,"5,429"
overfeel,4.56,0,"2,990"
HKSELLER,4.56,0,"6,369"
other,3.8,$0.99 ,"1,955"
http://www.amazon.com/gp/offer-listing/B002FFZGCU,26/03/2014,,
other,3,$0.50 ,"256,058"
ELE,4.55,0,"1,574"
other,4.55,0,"1,468"
accmart,4.55,0,"3,344"
eformart,3.76,$0.79 ,"9,650"
smart,4.55,0,"9,347"
space,4.56,0,"5,429"
overfeel,4.56,0,"2,990"
HKSELLER,4.56,0,"6,369"
other,3.8,$0.99 ,"1,955"
http://www.amazon.com/gp/offer-listing/B0010HE6LG,26/03/2014,,
other,3.59,0,160
other,3.6,0,"15,970"
other,3.61,0,"4,742"
other,3.61,0,"4,536"
other,3.63,0,84
other,3.64,0,"1,468"
accmart,3.65,0,"3,344"
other,3.65,0,0
ELE,3.68,0,"1,574"
other,2.69,$0.99 ,"1,956"
http://www.amazon.com/gp/offer-listing/B003SWLRLS,26/03/2014,,
other,4.77,0,6
other,4.78,0,84
other,4.78,0,"1,468"
ELE,4.81,0,"1,574"
accmart,4.81,0,"3,344"
eformart,4.02,$0.79 ,"9,650"
smart,4.81,0,"9,347"
HKSELLER,4.81,0,"6,369"
other,4.82,0,"4,903"
other,3.83,$0.99 ,"4,888"
http://www.amazon.com/gp/offer-listing/B002BFLALA,26/03/2014,,
other,0.17,$1.95 ,9
ELE,2.13,0,"1,574"
accmart,2.13,0,"3,344"
other,2.13,0,"1,274"
eformart,1.35,$0.79 ,"9,650"
other,2.15,0,"166,195"
other,3.7,0,"7,371"
other,3.48,$0.28 ,"48,089"
other,3.97,0,"43,866"
other,4.99,0,"11,786"
http://www.amazon.com/gp/offer-listing/B004TXPWV6,26/03/2014,,
other,3.86,0,15
other,3.9,0,201
other,3.91,0,89
other,3.91,0,"1,468"
other,3.91,0,"5,514"
ELE,4.2,0,"1,574"
accmart,4.2,0,"3,344"
eformart,3.7,$0.79 ,"9,650"
other,4.5,0,"1,322"
other,4.55,0,12
http://www.amazon.com/gp/offer-listing/B006TS510Q,26/03/2014,,
other,6.44,0,364
other,4.45,$1.99 ,458
other,6.44,0,"3,821"
accmart,6.44,0,"3,344"
ELE,6.45,0,"1,574"
eformart,5.69,$0.79 ,"9,650"
other,6.48,0,"1,926"
other,7.5,0,0
other,8.21,0,59
other,8.22,0,340
http://www.amazon.com/gp/offer-listing/B000BV8604,26/03/2014,,
other,5.18,0,84
other,5.18,0,0
eformart,4.41,$0.79 ,"9,650"
other,4.21,$0.99 ,"1,955"
other,5.26,0,"1,390"
other,5.26,0,642
other,4.27,$0.99 ,"4,888"
other,5.27,0,"8,934"
other,4.54,$0.73 ,"5,360"
other,4.49,$0.98 ,886
http://www.amazon.com/gp/offer-listing/B003VX3S3Y,26/03/2014,,
other,2.34,0,83
other,2.34,0,0
smart,2.35,0,"9,347"
other,2.36,0,"3,360"
space,2.36,0,"5,429"
HKSELLER,2.36,0,"6,369"
overfeel,2.36,0,"2,990"
other,2.37,0,155
other,2.37,0,1
other,2.4,0,0
http://www.amazon.com/gp/offer-listing/B005LTBCKM,26/03/2014,,
ELE,5.93,0,"1,574"
other,5.98,0,201
eformart,5.19,$0.79 ,"9,650"
other,5.98,0,"5,514"
accmart,5.98,0,"3,344"
other,5.98,0,"1,468"
other,6.84,0,60
other,6.85,0,113
other,6.94,0,340
other,6.98,0,48
http://www.amazon.com/gp/offer-listing/B003E2T13S,26/03/2014,,
eformart,0.89,$0.79 ,"9,650"
smart,1.68,0,"9,347"
other,1.69,0,165
other,1.69,0,"5,514"
other,1.69,0,227
overfeel,1.69,0,"2,990"
HKSELLER,1.69,0,"6,369"
space,1.69,0,"5,429"
other,1.7,0,337
ELE,1.7,0,"1,574"
http://www.amazon.com/gp/offer-listing/B003KXEDVQ,26/03/2014,,
ELE,4.6,0,"1,574"
other,4.7,0,"2,870"
other,2.24,$2.49 ,"1,464"
other,4.74,0,13
other,4.74,0,337
accmart,4.8,0,"3,344"
other,4.84,0,"1,929"
other,4.92,0,"1,927"
eformart,4.13,$0.79 ,"9,650"
other,5.01,0,227
http://www.amazon.com/gp/offer-listing/B004I0FK6M,26/03/2014,,
accmart,1.43,0,"3,344"
eformart,0.64,$0.79 ,"9,650"
other,1.44,0,"4,903"
ELE,1.44,0,"1,574"
other,1.44,0,"1,468"
other,1.44,0,"1,365"
other,0.76,$0.69 ,"1,450"
other,1.45,0,84
other,1.45,0,155
other,1.47,0,"5,515"
http://www.amazon.com/gp/offer-listing/B007KFVQXI,26/03/2014,,
other,4.9,0,"1,927"
eformart,4.11,$0.79 ,"9,650"
other,4.95,0,"1,468"
other,4.95,0,"2,870"
other,4.96,0,"5,514"
other,4.96,0,89
other,5.15,0,814
other,5.15,0,268
other,5.18,0,"11,835"
other,5.19,0,"4,402"
http://www.amazon.com/gp/offer-listing/B00810ROQ4,26/03/2014,,
other,13.79,0,377
other,13.79,0,285
ELE,13.79,0,"1,574"
eformart,13,$0.79 ,"9,650"
other,13.79,0,23
accmart,13.89,0,"3,344"
other,14.76,0,18
other,12.57,$3.00 ,4
other,10.99,$4.59 ,2
other,15.64,0,"1,594"
http://www.amazon.com/gp/offer-listing/B0044EOQO4,26/03/2014,,
accmart,1.98,0,"3,344"
other,1.98,0,84
other,1.98,0,"4,402"
eformart,1.19,$0.79 ,"9,650"
other,1.98,0,"4,742"
other,1.99,0,"11,835"
other,1.99,0,"5,024"
ELE,2,0,"1,574"
other,2.03,0,"1,927"
other,1.34,$0.69 ,"1,450"
http://www.amazon.com/gp/offer-listing/B000V6T66C,26/03/2014,,
other,2.74,0,613
other,2.76,0,12
other,0.8,$1.99 ,880
accmart,2.85,0,"3,344"
ELE,2.85,0,"1,574"
eformart,2.06,$0.79 ,"9,650"
other,0.9,$1.99 ,84
other,1.46,$1.50 ,116
other,2.96,0,369
other,2.97,0,"31,453"
http://www.amazon.com/gp/offer-listing/B00APJL1XG,26/03/2014,,
other,9.27,0,45
eformart,8.49,$0.79 ,"9,650"
ELE,9.34,0,"1,574"
other,9.37,0,"1,468"
other,9.38,0,1
other,9.39,0,"5,515"
accmart,9.39,0,"3,344"
other,9.42,0,18
other,9.99,0,960
other,5.49,$4.99 ,"1,078"
http://www.amazon.com/gp/offer-listing/B005QWH4QA,26/03/2014,,
other,5.49,0,3
other,6.11,0,"1,468"
ELE,6.12,0,"1,574"
eformart,5.33,$0.79 ,"9,650"
accmart,6.12,0,"3,344"
other,3.14,$2.98 ,"859,346"
other,6.9,0,280
other,7.21,0,0
other,2.5,$4.99 ,"2,635"
other,7.99,0,"2,492"
http://www.amazon.com/gp/offer-listing/B007PODI1W,26/03/2014,,
accmart,3.75,0,"3,344"
other,3.76,0,"5,023"
other,3.76,0,"4,402"
other,3.77,0,"11,835"
other,3.77,0,"1,927"
eformart,2.98,$0.79 ,"9,650"
ELE,3.78,0,"1,574"
other,3.85,0,"5,239"
Meco,3.9,0,"8,847"
other,3.9,0,"1,274"
http://www.amazon.com/gp/offer-listing/B009CQC7YU,26/03/2014,,
other,2.06,0,357
other,2.06,0,40
eformart,1.29,$0.79 ,"9,650"
accmart,2.08,0,"3,344"
smart,2.08,0,"9,347"
overfeel,2.09,0,"2,990"
space,2.09,0,"5,429"
HKSELLER,2.09,0,"6,369"
other,2.1,0,10
other,2.13,0,3
http://www.amazon.com/gp/offer-listing/B004TZVKIS,26/03/2014,,
other,2.76,0,15
other,1.78,$0.99 ,"4,888"
accmart,2.77,0,"3,344"
other,2.77,0,227
other,2.78,0,84
other,2.78,0,"5,515"
other,1.86,$0.99 ,"1,955"
other,2.86,0,642
ELE,2.9,0,"1,574"
other,2.92,0,303
http://www.amazon.com/gp/offer-listing/B000BUDHNQ,26/03/2014,,
other,2.32,0,"2,492"
other,2.32,0,206
eformart,1.53,$0.79 ,"9,650"
ELE,2.32,0,"1,574"
other,2.32,0,50
accmart,2.32,0,"3,344"
other,1.8,$0.99 ,"33,240"
other,2.89,0,"31,453"
other,3,0,"1,441"
other,3.99,0,"1,070"
http://www.amazon.com/gp/offer-listing/B001MT3FMI,26/03/2014,,
other,7.09,$3.50 ,"6,132"
other,10.85,0,"1,468"
eformart,10.11,$0.79 ,"9,650"
accmart,10.99,0,"3,344"
ELE,10.99,0,"1,574"
other,11.68,$0.50 ,"256,058"
other,12.99,0,"2,885"
