http://www.amazon.com/gp/offer-listing/B007S642BW,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B007S642BW,27/03/2014,,,,,,
other,4.53,0,646,,other,4.53,0,646,,,,
other,4.53,0,157,,other,4.53,0,157,,,,
other,4.53,0,0,,other,4.53,0,0,,,,
eformart,3.76,$0.79 ,"9,653",,eformart,3.76,$0.79 ,"9,653",,,,
other,4.55,0,85,,other,4.55,0,85,,,,
other,3.56,$0.99 ,"1,960",,other,3.56,$0.99 ,"1,960",,,,
other,4.55,0,"1,474",,other,4.55,0,"1,474",,,,
accmart,4.55,0,"3,346",,accmart,4.55,0,"3,346",,,,
other,3.82,$0.73 ,"5,364",,other,3.82,$0.73 ,"5,365",,,,
other,4.54,$0.01 ,0,,other,4.54,$0.01 ,0,,,,
http://www.amazon.com/gp/offer-listing/B002FFT8Z6,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B002FFT8Z6,27/03/2014,,,,,,
other,2.52,0,646,,other,2.52,0,646,,,,
other,2.54,0,"1,474",,eformart,1.75,$0.79 ,"9,653",,,,
ELE,2.54,0,"1,573",,other,2.54,0,"1,474",,,,
other,1.55,$0.99 ,"1,960",,ELE,2.54,0,"1,573",,,,
other,2.54,0,361,,other,1.55,$0.99 ,"1,960",,,,
eformart,1.75,$0.79 ,"9,653",,other,2.54,0,363,,,,
accmart,2.55,0,"3,346",,accmart,2.55,0,"3,346",,,,
other,1.83,$0.73 ,"5,363",,other,1.83,$0.73 ,"5,363",,,,
other,1.57,$0.99 ,"4,893",,other,1.57,$0.99 ,"4,893",,,,
other,2.63,0,209,,other,2.63,0,209,,,,
http://www.amazon.com/gp/offer-listing/B008279OJ6,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B008279OJ6,27/03/2014,,,,,,
other,2.52,0,646,,other,4.88,0,646,,,,
other,2.54,0,"1,474",,other,4.9,0,"3,826",,,,
ELE,2.54,0,"1,573",,ELE,4.9,0,"1,573",,,,
other,1.55,$0.99 ,"1,960",,other,4.9,0,85,,,,
other,2.54,0,361,,other,4.92,0,"1,936",,,,
eformart,1.75,$0.79 ,"9,653",,eformart,4.15,$0.79 ,"9,653",,,,
accmart,2.55,0,"3,346",,other,4.95,0,"5,531",,,,
other,1.83,$0.73 ,"5,363",,accmart,4.95,0,"3,346",,,,
other,1.57,$0.99 ,"4,893",,other,4.09,$0.99 ,"1,960",,,,http://www.amazon.com/gp/offer-listing/B001NY45S0
other,2.63,0,209,,other,5.16,0,"1,474",,,,
http://www.amazon.com/gp/offer-listing/B001NY45S0,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B001NY45S0,27/03/2014,,,,,,
other,1.71,0,"9,672",,other,1.71,0,"9,671",,,,
other,1.72,0,15,,other,1.72,0,15,,,,
other,1.73,0,"1,474",,eformart,0.94,$0.79 ,"9,653",,,,
eformart,0.94,$0.79 ,"9,653",,ELE,1.73,0,"1,573",,,,
ELE,1.73,0,"1,573",,other,1.73,0,"1,474",,,,
accmart,1.78,0,"3,346",,accmart,1.78,0,"3,346",,,,
other,1.78,0,"6,309",,other,1.78,0,"6,309",,,,
other,1.8,0,"1,017",,other,1.8,0,"1,017",,,,
other,1.83,0,"5,531",,other,1.83,0,151,,,,
other,1.83,0,234,,other,1.83,0,"5,532",,,,
http://www.amazon.com/gp/offer-listing/B0049ME3BM,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B0049ME3BM,27/03/2014,,,,,,
smart,2.56,0,"9,363",,smart,2.56,0,"9,363",,,,
other,2.57,0,"1,474",,other,2.57,0,"1,474",,,,
ELE,2.57,0,"1,573",,ELE,2.57,0,"1,573",,,,
HKSELLER,2.57,0,"6,374",,overfeel,2.57,0,"3,000",,,,
overfeel,2.57,0,"3,000",,space,2.57,0,"5,433",,,,
space,2.57,0,"5,433",,HKSELLER,2.57,0,"6,374",,,,
accmart,2.58,0,"3,346",,accmart,2.58,0,"3,346",,,,
eformart,1.79,$0.79 ,"9,653",,eformart,1.79,$0.79 ,"9,653",,,,
other,2.58,0,39,,other,2.58,0,39,,,,
other,2.62,0,"2,437",,other,2.62,0,"2,437",,,,
http://www.amazon.com/gp/offer-listing/B009LVVTSQ,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B009LVVTSQ,27/03/2014,,,,,,
other,6.29,0,18,,other,6.29,0,18,,,,
other,6.97,0,12,,other,6.97,0,12,,,,
ELE,6.98,0,"1,573",,ELE,6.98,0,"1,573",,,,
other,5.49,$1.50 ,117,,other,5.49,$1.50 ,117,,,,
other,6.99,$0.16 ,3,,other,6.99,$0.16 ,3,,,,
other,3.99,$3.49 ,"512,789",,other,3.99,$3.49 ,"512,789",,,,
other,3.51,$3.99 ,"1,286",,other,3.51,$3.99 ,"1,286",,,,
http://www.amazon.com/gp/offer-listing/B005LTBCKM,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B005LTBCKM,27/03/2014,,,,,,
other,5.93,0,"5,531",,other,5.93,0,"5,532",,,,
ELE,5.93,0,"1,573",,ELE,5.93,0,"1,573",,,,
other,5.98,0,"1,474",,eformart,5.19,$0.79 ,"9,653",,,,
eformart,5.19,$0.79 ,"9,653",,other,5.98,0,"1,473",,,,
accmart,5.99,0,"3,346",,accmart,5.99,0,"3,346",,,,
other,6.84,0,60,,other,6.84,0,60,,,,
other,6.85,0,116,,other,6.85,0,116,,,,
other,6.94,0,341,,other,6.94,0,341,,,,
other,7.17,0,793,,other,7.17,0,793,,,,
other,7.86,0,58,,other,7.86,0,57,,,,
http://www.amazon.com/gp/offer-listing/B0027EMHM6,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B0027EMHM6,27/03/2014,,,,,,
smart,1.92,0,"9,363",,smart,1.92,0,"9,362",,,,
eformart,1.14,$0.79 ,"9,653",,eformart,1.14,$0.79 ,"9,653",,,,
ELE,1.93,0,"1,573",,ELE,1.93,0,"1,573",,,,
HKSELLER,1.93,0,"6,374",,HKSELLER,1.93,0,"6,374",,,,
overfeel,1.93,0,"3,000",,overfeel,1.93,0,"2,999",,,,
space,1.93,0,"5,433",,space,1.93,0,"5,433",,,,
other,1.94,0,"1,936",,other,1.94,0,"1,936",,,,
other,1.96,0,"3,416",,other,1.96,0,"3,416",,,,
other,2.1,0,"2,673",,other,2.1,0,"2,673",,,,
other,2.29,0,818,,other,2.29,0,818,,,,
http://www.amazon.com/gp/offer-listing/B002FFZGCU,27/03/2014,,,,http://www.amazon.com/gp/offer-listing/B002FFZGCU,27/03/2014,,,,,,
