date,20/03/2014,20/03/2014,21/03/2014
B003SWLRLS,$4.89 ,$4.89 ,$4.89
B003MWN4RO,$1.58 ,$1.58 ,$1.58
B003MWH48E,$1.63 ,$1.63 ,$1.63
B00007AP2O,$2.00 ,$2.00 ,$2.00
B0044QXHDI,$1.96 ,$1.96 ,$1.96
B005NG71K8,$4.17 ,$4.17 ,$4.17
B005NTHXYY,$5.16 ,$5.16 ,$5.16
B000Y991XO,$2.76 ,$2.76 ,$2.76
B004OAQDFS,$4.48 ,$4.48 ,$4.48
B0046S54GC,$1.09 ,$1.09 ,$1.09
B00827EGG2,$4.84 ,$4.84 ,$4.84
B004SK614C,$2.62 ,$2.62 ,$2.62
B005YW1LZM,$4.50 ,$4.50 ,$4.50
B004I1GHPO,$4.97 ,$4.97 ,$4.97
B0049ME3BM,$2.62 ,$2.62 ,$2.62
B002FFZGCU,$4.59 ,$4.59 ,$4.59
