date,20/03/2014,20/03/2014,21/03/2014,21/03/2014accmart,24/03/2014,24/03/2014,24/03/2014,25/03/2014Acc,26/03/2014,26/03/2014ACC,26/03/2014efor
B003SWLRLS,$4.89 ,$4.89 ,$4.89 ,$4.89 ,$4.83 ,$4.82 ,$4.82 ,$4.82 ,$4.81 ,$4.81 ,$4.02 
B003MWN4RO,$1.58 ,$1.58 ,$1.58 ,$1.58 ,$1.57 ,$1.57 ,$1.57 ,$1.57 ,$1.55 ,$1.57 ,$0.77 
B003MWH48E,$1.63 ,$1.63 ,$1.63 ,$1.58 ,$1.63 ,$1.58 ,$1.58 ,$1.58 ,$1.58 ,$1.58 ,$0.79 
B00007AP2O,$2.00 ,$2.00 ,$2.00 ,$2.21 ,$1.99 ,$2.00 ,$1.58 ,$2.00 ,$1.99 ,$2.00 ,$1.32 
B0044QXHDI,$1.96 ,$1.96 ,$1.96 ,$1.96 ,$0.97 ,$1.96 ,$1.58 ,$2.00 ,$1.95 ,$1.96 ,$0.95 
B005NG71K8,$4.17 ,$4.17 ,$4.17 ,$4.18 ,$4.16 ,$1.96 ,$4.16 ,$4.16 ,$4.15 ,$4.16 ,$0.95 
B005NTHXYY,$5.16 ,$5.16 ,$5.16 ,$5.16 ,$4.85 ,$4.84 ,$4.84 ,$4.84 ,$4.76 ,$4.84 ,$4.36 
B000Y991XO,$2.76 ,$2.76 ,$2.76 ,$2.76 ,$4.85 ,$2.56 ,$2.56 ,$2.56 ,$2.48 ,$2.56 ,$1.69 
B0046S54GC,$1.09 ,$1.09 ,$1.09 ,$1.09 ,$1.07 ,$2.56 ,$2.56 ,$1.07 ,$1.06 ,$1.07 ,$1.69 
B00827EGG2,$4.84 ,$4.84 ,$4.84 ,$5.16 ,$4.81 ,$2.56 ,$4.81 ,$4.81 ,$4.75 ,$4.81 ,$4.03 
B004SK614C,$2.62 ,$2.62 ,$2.62 ,$2.62 ,$2.60 ,$2.60 ,0,$2.60 ,$4.75 ,$2.60 ,$1.83 
B005YW1LZM,$4.50 ,$4.50 ,$4.50 ,$4.50 ,$4.48 ,$4.46 ,$4.81 ,$4.46 ,$4.42 ,$4.46 ,None
B004I1GHPO,$4.97 ,$4.97 ,$4.97 ,$4.97 ,$4.87 ,$4.87 ,$4.81 ,$4.87 ,$4.86 ,$4.87 ,$4.08 
B0049ME3BM,$2.62 ,$2.62 ,$2.62 ,$2.62 ,$2.60 ,$2.60 ,$4.81 ,$2.60 ,$2.57 ,$2.59 ,$1.79 
B002FFZGCU,$4.59 ,$4.59 ,$4.59 ,$4.59 ,$4.57 ,$4.59 ,$4.59 ,$4.57 ,$4.55 ,$4.57 ,$3.76 
